age,gender,Q3,Q4,Q5,Q6
25-29,Man,Indonesia,Doctoral degree,Data Analyst,5-10 years
35-39,Man,India,Master’s degree,Other,10-20 years
25-29,Man,Poland,Master’s degree,Currently not employed,1-2 years
25-29,Woman,Belarus,Master’s degree,Machine Learning Engineer,1-2 years
25-29,Man,India,Doctoral degree,Other,3-5 years
18-21,Man,India,Professional degree,,
22-24,Man,Other,Bachelor’s degree,Software Engineer,1-2 years
25-29,Woman,Tunisia,Master’s degree,Data Scientist,5-10 years
30-34,Man,Ukraine,Master’s degree,Data Scientist,3-5 years
30-34,Woman,Belgium,Master’s degree,Data Analyst,1-2 years
35-39,Man,United States of America,Master’s degree,Other,< 1 years
25-29,Man,United States of America,Master’s degree,Software Engineer,10-20 years
40-44,Man,Germany,Doctoral degree,,
18-21,Man,Pakistan,Bachelor’s degree,Software Engineer,1-2 years
35-39,Man,Saudi Arabia,Bachelor’s degree,Other,I have never written code
35-39,Man,Taiwan,Master’s degree,Software Engineer,5-10 years
25-29,Woman,Brazil,Master’s degree,Student,1-2 years
35-39,Man,United States of America,Doctoral degree,Data Analyst,1-2 years
25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years
18-21,Woman,Indonesia,Bachelor’s degree,Data Scientist,< 1 years
30-34,Woman,Other,Some college/university study without earning a bachelor’s degree,Student,3-5 years
35-39,Man,Nigeria,Doctoral degree,Student,1-2 years
18-21,Prefer to self-describe,India,Bachelor’s degree,Student,1-2 years
35-39,Man,Germany,Doctoral degree,Research Scientist,10-20 years
25-29,Man,China,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years
25-29,Woman,China,Master’s degree,Currently not employed,< 1 years
50-54,Woman,Italy,Doctoral degree,Research Scientist,1-2 years
40-44,Man,India,Professional degree,Software Engineer,10-20 years
22-24,Woman,Taiwan,Master’s degree,Student,1-2 years
40-44,Man,United States of America,Master’s degree,Machine Learning Engineer,20+ years
25-29,Man,Taiwan,Master’s degree,Other,3-5 years
22-24,Woman,India,Master’s degree,Student,< 1 years
25-29,Man,Other,Bachelor’s degree,Data Analyst,1-2 years
60-69,Man,Other,Doctoral degree,Other,5-10 years
45-49,Man,Spain,Master’s degree,Software Engineer,1-2 years
30-34,Prefer not to say,Singapore,Bachelor’s degree,Other,5-10 years
18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years
22-24,Man,Russia,Master’s degree,Machine Learning Engineer,3-5 years
30-34,Man,United States of America,Master’s degree,Other,I have never written code
40-44,Man,India,Master’s degree,Other,< 1 years
22-24,Man,Other,Professional degree,Data Analyst,1-2 years
35-39,Woman,Other,Doctoral degree,Other,< 1 years
30-34,Man,United Arab Emirates,Master’s degree,Research Scientist,5-10 years
18-21,Man,India,Bachelor’s degree,Student,I have never written code
22-24,Man,India,Bachelor’s degree,Software Engineer,3-5 years
18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Student,1-2 years
40-44,Woman,Spain,Master’s degree,Other,< 1 years
18-21,Man,India,No formal education past high school,Student,1-2 years
55-59,Man,Colombia,Master’s degree,Data Scientist,10-20 years
22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years
18-21,Woman,Mexico,Bachelor’s degree,Student,1-2 years
35-39,Man,Canada,Master’s degree,Data Scientist,10-20 years
22-24,Man,India,Bachelor’s degree,Data Analyst,3-5 years
18-21,Man,India,I prefer not to answer,Machine Learning Engineer,1-2 years
18-21,Man,India,Master’s degree,Student,I have never written code
35-39,Woman,India,Master’s degree,Currently not employed,1-2 years
30-34,Man,India,Master’s degree,Other,< 1 years
25-29,Woman,Other,Doctoral degree,,
18-21,Woman,Nigeria,Master’s degree,Student,I have never written code
22-24,Man,Viet Nam,Master’s degree,Machine Learning Engineer,3-5 years
22-24,Woman,Poland,Master’s degree,Machine Learning Engineer,3-5 years
18-21,Woman,Thailand,Bachelor’s degree,Student,I have never written code
50-54,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,10-20 years
22-24,Man,Other,Bachelor’s degree,Software Engineer,5-10 years
25-29,Man,Egypt,Bachelor’s degree,Machine Learning Engineer,1-2 years
18-21,Woman,India,Bachelor’s degree,Student,1-2 years
30-34,Man,United States of America,Bachelor’s degree,Other,1-2 years
40-44,Woman,France,No formal education past high school,Currently not employed,3-5 years
18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-2 years
22-24,Man,Brazil,Professional degree,Business Analyst,< 1 years
50-54,Man,Argentina,Doctoral degree,,
18-21,Man,Colombia,Some college/university study without earning a bachelor’s degree,Student,< 1 years
18-21,Man,Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years
25-29,Woman,Egypt,Master’s degree,Data Scientist,5-10 years
30-34,Man,United States of America,Doctoral degree,Student,1-2 years
18-21,Man,Viet Nam,Bachelor’s degree,Student,3-5 years
22-24,Man,India,Professional degree,Currently not employed,< 1 years
35-39,Woman,Other,Master’s degree,Data Analyst,< 1 years
35-39,Man,United States of America,Master’s degree,Data Scientist,5-10 years
18-21,Woman,Ghana,I prefer not to answer,Student,1-2 years
35-39,Man,Russia,Doctoral degree,Research Scientist,10-20 years
50-54,Man,Japan,Master’s degree,,
45-49,Woman,United States of America,Doctoral degree,Data Scientist,10-20 years
55-59,Man,India,Bachelor’s degree,Machine Learning Engineer,< 1 years
25-29,Man,Poland,Master’s degree,Software Engineer,3-5 years
25-29,Man,Ghana,Master’s degree,Student,< 1 years
22-24,Man,India,Some college/university study without earning a bachelor’s degree,Student,< 1 years
18-21,Man,Nigeria,Bachelor’s degree,Student,3-5 years
18-21,Man,Ireland,No formal education past high school,Student,5-10 years
40-44,Man,United States of America,Master’s degree,Machine Learning Engineer,5-10 years
35-39,Woman,India,,,
35-39,Man,Other,Doctoral degree,Research Scientist,10-20 years
25-29,Man,Ghana,Bachelor’s degree,Student,5-10 years
25-29,Man,Netherlands,Master’s degree,Machine Learning Engineer,3-5 years
22-24,Man,India,Master’s degree,Student,< 1 years
35-39,Man,Canada,Master’s degree,Data Scientist,5-10 years
35-39,Man,Nigeria,Bachelor’s degree,Software Engineer,10-20 years
25-29,Woman,India,Bachelor’s degree,Data Analyst,1-2 years
35-39,Woman,Other,Master’s degree,Product/Project Manager,< 1 years
25-29,Woman,Philippines,Bachelor’s degree,Data Analyst,< 1 years
25-29,Man,United States of America,Master’s degree,Software Engineer,10-20 years
18-21,Man,Nigeria,I prefer not to answer,Data Scientist,< 1 years
55-59,Man,France,I prefer not to answer,Currently not employed,20+ years
22-24,Man,France,Master’s degree,Research Scientist,3-5 years
30-34,Man,China,Bachelor’s degree,Business Analyst,
30-34,Man,Netherlands,Master’s degree,Data Analyst,3-5 years
40-44,Man,Germany,Doctoral degree,Software Engineer,20+ years
25-29,Man,Morocco,Master’s degree,Data Scientist,3-5 years
45-49,Man,Spain,Doctoral degree,Currently not employed,5-10 years
45-49,Man,India,Master’s degree,,
18-21,Woman,India,Master’s degree,Student,3-5 years
18-21,Man,Turkey,Some college/university study without earning a bachelor’s degree,Student,I have never written code
30-34,Man,Belgium,Doctoral degree,Research Scientist,3-5 years
35-39,Man,Other,Master’s degree,Business Analyst,3-5 years
25-29,Woman,Germany,Master’s degree,Data Scientist,3-5 years
25-29,Woman,Egypt,I prefer not to answer,Machine Learning Engineer,
25-29,Woman,Saudi Arabia,Master’s degree,Data Analyst,5-10 years
22-24,Man,Russia,Doctoral degree,Research Scientist,3-5 years
40-44,Woman,India,Bachelor’s degree,Currently not employed,3-5 years
25-29,Man,Other,Master’s degree,Software Engineer,5-10 years
25-29,Man,India,Bachelor’s degree,,
18-21,Man,Turkey,Bachelor’s degree,Data Scientist,1-2 years
30-34,Man,Russia,Master’s degree,Software Engineer,5-10 years
30-34,Man,Italy,Professional degree,Research Scientist,< 1 years
18-21,Man,United States of America,Some college/university study without earning a bachelor’s degree,Student,5-10 years
22-24,Man,United States of America,Bachelor’s degree,Data Analyst,3-5 years
40-44,Man,Spain,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years
22-24,Woman,Spain,Doctoral degree,Data Scientist,1-2 years
55-59,Man,India,No formal education past high school,Currently not employed,20+ years
25-29,Man,India,Doctoral degree,Student,1-2 years
22-24,Woman,India,Bachelor’s degree,Software Engineer,I have never written code
25-29,Man,"Iran, Islamic Republic of...",Master’s degree,Data Scientist,3-5 years
50-54,Man,Spain,Doctoral degree,Research Scientist,20+ years
30-34,Man,United States of America,Master’s degree,Data Analyst,3-5 years
30-34,Man,India,Bachelor’s degree,Other,< 1 years
50-54,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Other,10-20 years
45-49,Man,United States of America,Master’s degree,Software Engineer,3-5 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
30-34,Woman,India,Bachelor’s degree,Data Scientist,3-5 years
30-34,Woman,Italy,Bachelor’s degree,Student,3-5 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
35-39,Man,United States of America,Master’s degree,Machine Learning Engineer,20+ years
30-34,Woman,Spain,Master’s degree,Data Scientist,1-2 years
30-34,Man,Germany,Bachelor’s degree,Student,10-20 years
18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,5-10 years
18-21,Man,India,Bachelor’s degree,Student,3-5 years
40-44,Woman,United States of America,Bachelor’s degree,Data Analyst,< 1 years
18-21,Man,India,No formal education past high school,Student,3-5 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
18-21,Man,India,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,5-10 years
22-24,Woman,Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years
18-21,Man,Peru,Some college/university study without earning a bachelor’s degree,Student,< 1 years
40-44,Man,Other,Doctoral degree,Data Scientist,20+ years
22-24,Man,United States of America,Master’s degree,Data Analyst,3-5 years
30-34,Man,Egypt,Bachelor’s degree,Other,10-20 years
30-34,Woman,Germany,Doctoral degree,Data Scientist,5-10 years
30-34,Man,Other,Doctoral degree,Currently not employed,3-5 years
25-29,Woman,Tunisia,Professional degree,Research Scientist,1-2 years
22-24,Woman,Romania,Master’s degree,Data Scientist,1-2 years
30-34,Woman,India,Master’s degree,Data Scientist,
18-21,Woman,India,Master’s degree,Student,1-2 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
30-34,Man,Russia,Bachelor’s degree,Data Scientist,1-2 years
18-21,Man,United States of America,Master’s degree,Student,1-2 years
25-29,Man,India,Master’s degree,Other,1-2 years
18-21,Man,India,Bachelor’s degree,Statistician,1-2 years
25-29,Man,India,Bachelor’s degree,Currently not employed,I have never written code
40-44,Man,India,Master’s degree,Data Scientist,3-5 years
35-39,Man,India,Master’s degree,Data Scientist,5-10 years
18-21,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,3-5 years
35-39,Man,United States of America,Bachelor’s degree,Currently not employed,< 1 years
50-54,Man,United States of America,Doctoral degree,Data Scientist,20+ years
30-34,Woman,India,Bachelor’s degree,Data Scientist,1-2 years
40-44,Man,United States of America,Doctoral degree,Other,20+ years
18-21,Man,India,Master’s degree,Student,< 1 years
40-44,Woman,India,Bachelor’s degree,Product/Project Manager,10-20 years
18-21,Man,India,Bachelor’s degree,Student,3-5 years
22-24,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Data Scientist,3-5 years
22-24,Woman,Indonesia,Bachelor’s degree,Data Scientist,3-5 years
25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,1-2 years
22-24,Woman,India,Master’s degree,Data Scientist,< 1 years
35-39,Man,Germany,Bachelor’s degree,Student,10-20 years
18-21,Woman,Taiwan,Some college/university study without earning a bachelor’s degree,Student,1-2 years
25-29,Man,Colombia,Professional degree,Data Analyst,5-10 years
18-21,Man,India,Bachelor’s degree,Student,< 1 years
22-24,Woman,Nepal,Master’s degree,Currently not employed,1-2 years
50-54,Man,Italy,No formal education past high school,Currently not employed,10-20 years
22-24,Man,Other,Bachelor’s degree,Student,5-10 years
18-21,Man,United States of America,Master’s degree,Software Engineer,3-5 years
25-29,Man,India,Master’s degree,Student,< 1 years
60-69,Man,Japan,Master’s degree,Product/Project Manager,< 1 years
25-29,Woman,United States of America,Master’s degree,Student,< 1 years
35-39,Man,Republic of Korea,Professional degree,Data Analyst,5-10 years
18-21,Man,Russia,Bachelor’s degree,Student,3-5 years
25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,
22-24,Man,India,Bachelor’s degree,Data Engineer,10-20 years
25-29,Man,Australia,Master’s degree,Student,1-2 years
30-34,Man,United States of America,Doctoral degree,Other,3-5 years
30-34,Man,Chile,Master’s degree,Software Engineer,3-5 years
50-54,Man,Japan,Bachelor’s degree,,
25-29,Woman,Saudi Arabia,Professional degree,Data Scientist,1-2 years
18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years
40-44,Woman,United States of America,Master’s degree,Statistician,1-2 years
25-29,Man,India,Bachelor’s degree,Software Engineer,3-5 years
30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years
18-21,Man,United States of America,Master’s degree,Student,3-5 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
22-24,Man,United States of America,Bachelor’s degree,Data Analyst,
18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-2 years
22-24,Woman,India,Doctoral degree,Currently not employed,< 1 years
22-24,Man,Canada,Master’s degree,Student,1-2 years
18-21,Man,India,Bachelor’s degree,Student,
50-54,Man,Japan,Master’s degree,Product/Project Manager,20+ years
25-29,Man,India,Master’s degree,Data Scientist,3-5 years
18-21,Man,India,Bachelor’s degree,Student,< 1 years
22-24,Man,India,Bachelor’s degree,Software Engineer,I have never written code
40-44,Man,Other,Bachelor’s degree,Other,I have never written code
18-21,Man,Brazil,Bachelor’s degree,Software Engineer,1-2 years
18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years
35-39,Woman,United States of America,Some college/university study without earning a bachelor’s degree,Student,< 1 years
22-24,Man,Kenya,Bachelor’s degree,Student,3-5 years
55-59,Woman,Brazil,Doctoral degree,Currently not employed,I have never written code
25-29,Man,India,Master’s degree,Student,< 1 years
22-24,Man,Italy,Master’s degree,Machine Learning Engineer,5-10 years
25-29,Man,India,Bachelor’s degree,Data Engineer,3-5 years
22-24,Man,Spain,Master’s degree,Student,3-5 years
40-44,Man,United States of America,Master’s degree,Statistician,10-20 years
25-29,Woman,Japan,Master’s degree,Research Scientist,1-2 years
22-24,Man,United States of America,Some college/university study without earning a bachelor’s degree,Student,< 1 years
22-24,Man,Russia,Master’s degree,Data Analyst,1-2 years
45-49,Man,Other,Professional degree,Software Engineer,10-20 years
18-21,Woman,Turkey,Bachelor’s degree,Student,< 1 years
18-21,Man,India,Bachelor’s degree,Student,< 1 years
55-59,Man,Germany,Doctoral degree,Business Analyst,20+ years
22-24,Man,India,Bachelor’s degree,Data Analyst,1-2 years
22-24,Man,India,Master’s degree,Student,< 1 years
50-54,Man,United States of America,Master’s degree,Software Engineer,20+ years
18-21,Man,India,Master’s degree,Student,< 1 years
60-69,Man,United States of America,Master’s degree,Other,20+ years
40-44,Man,Turkey,I prefer not to answer,Other,I have never written code
18-21,Woman,India,Bachelor’s degree,Student,3-5 years
22-24,Man,Japan,Bachelor’s degree,Student,5-10 years
18-21,Woman,India,Bachelor’s degree,,
25-29,Man,India,Master’s degree,Other,5-10 years
40-44,Man,South Korea,Bachelor’s degree,Currently not employed,1-2 years
25-29,Man,India,Master’s degree,Data Scientist,1-2 years
50-54,Man,Other,Doctoral degree,Research Scientist,I have never written code
18-21,Man,India,Bachelor’s degree,Student,3-5 years
18-21,Woman,India,Bachelor’s degree,Student,< 1 years
30-34,Man,Mexico,Master’s degree,Data Analyst,< 1 years
22-24,Man,China,Master’s degree,Student,3-5 years
22-24,Man,United States of America,Master’s degree,Business Analyst,3-5 years
25-29,Man,Ireland,Master’s degree,Data Analyst,< 1 years
18-21,Man,India,Bachelor’s degree,Data Scientist,1-2 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
18-21,Woman,India,Bachelor’s degree,Student,1-2 years
25-29,Woman,Germany,Doctoral degree,Student,3-5 years
18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,3-5 years
25-29,Man,Taiwan,Master’s degree,Other,< 1 years
45-49,Man,"Iran, Islamic Republic of...",Master’s degree,Machine Learning Engineer,20+ years
35-39,Man,Spain,Master’s degree,Data Engineer,5-10 years
30-34,Man,Sweden,Master’s degree,Data Scientist,5-10 years
35-39,Man,Spain,Doctoral degree,Other,10-20 years
50-54,Man,Nigeria,Master’s degree,Currently not employed,5-10 years
22-24,Man,India,,,
40-44,Man,Poland,Doctoral degree,Business Analyst,< 1 years
30-34,Woman,Germany,Master’s degree,Student,I have never written code
35-39,Woman,Poland,Master’s degree,Data Analyst,3-5 years
25-29,Woman,Tunisia,Master’s degree,Student,1-2 years
55-59,Man,Netherlands,Master’s degree,Data Scientist,5-10 years
18-21,Man,India,Bachelor’s degree,Student,< 1 years
22-24,Man,Pakistan,Master’s degree,Student,3-5 years
60-69,Man,United States of America,Master’s degree,Product/Project Manager,20+ years
22-24,Man,India,Master’s degree,Other,1-2 years
45-49,Man,Canada,Master’s degree,Software Engineer,20+ years
55-59,Man,United States of America,Master’s degree,Product/Project Manager,20+ years
55-59,Man,France,Doctoral degree,Data Scientist,20+ years
22-24,Man,India,Bachelor’s degree,Student,1-2 years
22-24,Man,India,Bachelor’s degree,Software Engineer,1-2 years
25-29,Man,Bangladesh,,,
18-21,Man,India,Bachelor’s degree,Data Scientist,1-2 years
22-24,Woman,India,Master’s degree,Student,3-5 years
22-24,Woman,India,Master’s degree,Currently not employed,1-2 years
25-29,Man,United States of America,Bachelor’s degree,Data Scientist,10-20 years
18-21,Man,Kenya,Bachelor’s degree,Student,1-2 years
22-24,Man,Other,Bachelor’s degree,Software Engineer,
35-39,Man,Japan,Master’s degree,Data Scientist,5-10 years
18-21,Man,India,Master’s degree,Student,1-2 years
40-44,Man,Brazil,Master’s degree,Software Engineer,20+ years
18-21,Man,Turkey,Bachelor’s degree,Student,1-2 years
18-21,Man,India,Bachelor’s degree,Student,3-5 years
35-39,Man,India,Master’s degree,Machine Learning Engineer,1-2 years
30-34,Man,Other,Master’s degree,Software Engineer,5-10 years
30-34,Man,India,Bachelor’s degree,Currently not employed,I have never written code
30-34,Man,Bangladesh,Master’s degree,Other,3-5 years
18-21,Man,Ghana,Master’s degree,Student,I have never written code
22-24,Man,China,Master’s degree,Student,3-5 years
22-24,Man,Greece,Some college/university study without earning a bachelor’s degree,Product/Project Manager,3-5 years
35-39,Man,Tunisia,Doctoral degree,Student,I have never written code
22-24,Man,Other,I prefer not to answer,Student,3-5 years
35-39,Man,Other,Bachelor’s degree,Currently not employed,10-20 years
55-59,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Currently not employed,10-20 years
30-34,Man,Indonesia,Bachelor’s degree,Other,< 1 years
50-54,Man,Taiwan,Doctoral degree,Research Scientist,10-20 years
22-24,Man,India,Doctoral degree,Currently not employed,3-5 years
35-39,Man,Australia,Bachelor’s degree,Other,< 1 years
45-49,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Product/Project Manager,I have never written code
40-44,Man,United States of America,Doctoral degree,Research Scientist,10-20 years
25-29,Man,India,Master’s degree,Student,< 1 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
30-34,Man,Russia,No formal education past high school,DBA/Database Engineer,1-2 years
35-39,Man,United States of America,Master’s degree,Other,20+ years
22-24,Man,Brazil,Bachelor’s degree,Student,3-5 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
40-44,Man,Taiwan,Master’s degree,DBA/Database Engineer,10-20 years
30-34,Man,United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years
22-24,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,< 1 years
30-34,Man,India,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years
30-34,Man,Mexico,Doctoral degree,Software Engineer,10-20 years
40-44,Man,India,Master’s degree,Product/Project Manager,1-2 years
30-34,Man,Other,Master’s degree,Other,1-2 years
55-59,Man,Italy,Doctoral degree,Currently not employed,20+ years
18-21,Man,China,Some college/university study without earning a bachelor’s degree,Student,1-2 years
22-24,Man,India,Bachelor’s degree,Data Scientist,1-2 years
25-29,Man,Republic of Korea,Master’s degree,Student,3-5 years
25-29,Man,India,Bachelor’s degree,Data Analyst,3-5 years
18-21,Man,India,Master’s degree,Student,3-5 years
22-24,Man,India,Master’s degree,Student,5-10 years
22-24,Man,India,Bachelor’s degree,Data Engineer,I have never written code
35-39,Man,Republic of Korea,Master’s degree,Product/Project Manager,< 1 years
25-29,Man,France,Master’s degree,Data Scientist,3-5 years
25-29,Woman,India,Master’s degree,Data Analyst,3-5 years
18-21,Man,Kenya,Bachelor’s degree,Student,1-2 years
22-24,Man,Other,Some college/university study without earning a bachelor’s degree,Student,3-5 years
25-29,Woman,United States of America,Master’s degree,Data Scientist,3-5 years
35-39,Man,United States of America,Master’s degree,Data Scientist,10-20 years
45-49,Man,United States of America,Doctoral degree,Research Scientist,20+ years
25-29,Man,Germany,Master’s degree,Currently not employed,3-5 years
30-34,Man,Bangladesh,Master’s degree,Research Scientist,< 1 years
45-49,Man,Saudi Arabia,Bachelor’s degree,Currently not employed,I have never written code
40-44,Man,United Arab Emirates,Professional degree,Other,I have never written code
40-44,Woman,Chile,Master’s degree,Machine Learning Engineer,< 1 years
25-29,Woman,United States of America,Master’s degree,Currently not employed,1-2 years
30-34,Woman,Turkey,I prefer not to answer,Student,1-2 years
25-29,Man,Thailand,I prefer not to answer,,
25-29,Man,Australia,Master’s degree,Business Analyst,1-2 years
50-54,Man,United States of America,Doctoral degree,Machine Learning Engineer,20+ years
40-44,Man,United States of America,Master’s degree,Product/Project Manager,
25-29,Man,United States of America,Master’s degree,Business Analyst,1-2 years
40-44,Woman,Malaysia,Doctoral degree,Software Engineer,5-10 years
18-21,Woman,India,Bachelor’s degree,Data Scientist,3-5 years
55-59,Man,Germany,Some college/university study without earning a bachelor’s degree,Data Engineer,20+ years
40-44,Man,Egypt,Bachelor’s degree,Machine Learning Engineer,10-20 years
40-44,Man,India,Bachelor’s degree,Other,5-10 years
45-49,Man,Colombia,Master’s degree,Business Analyst,< 1 years
25-29,Man,China,Master’s degree,Currently not employed,3-5 years
25-29,Man,Colombia,Professional degree,Student,1-2 years
35-39,Man,Greece,Master’s degree,Research Scientist,1-2 years
18-21,Man,India,Bachelor’s degree,Student,3-5 years
50-54,Man,Japan,Bachelor’s degree,Machine Learning Engineer,20+ years
18-21,Woman,Turkey,Some college/university study without earning a bachelor’s degree,,
18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-2 years
25-29,Man,United States of America,Master’s degree,Student,3-5 years
25-29,Man,Thailand,,,
18-21,Man,India,Bachelor’s degree,Student,1-2 years
22-24,Man,India,Bachelor’s degree,Other,< 1 years
30-34,Man,India,Master’s degree,Currently not employed,< 1 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
25-29,Woman,"Iran, Islamic Republic of...",Doctoral degree,Research Scientist,5-10 years
18-21,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Currently not employed,< 1 years
25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,< 1 years
25-29,Man,Japan,Master’s degree,Business Analyst,1-2 years
18-21,Woman,India,Master’s degree,Student,3-5 years
25-29,Man,United States of America,Master’s degree,Data Engineer,5-10 years
45-49,Man,Ukraine,Some college/university study without earning a bachelor’s degree,Data Scientist,1-2 years
18-21,Man,India,Bachelor’s degree,Currently not employed,3-5 years
35-39,Man,Turkey,Master’s degree,Student,1-2 years
22-24,Man,China,,,
40-44,Man,India,Professional degree,Other,I have never written code
25-29,Man,Other,Master’s degree,,
18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years
18-21,Man,Belarus,Bachelor’s degree,Software Engineer,5-10 years
25-29,Man,United States of America,Master’s degree,Business Analyst,3-5 years
35-39,Man,Netherlands,Master’s degree,Data Analyst,3-5 years
25-29,Woman,Philippines,Master’s degree,Data Engineer,1-2 years
18-21,Man,Morocco,,,
30-34,Man,Other,Master’s degree,Data Analyst,3-5 years
25-29,Man,Japan,Master’s degree,Data Scientist,5-10 years
22-24,Woman,India,Master’s degree,Data Analyst,< 1 years
18-21,Man,United States of America,Bachelor’s degree,Student,< 1 years
55-59,Man,Australia,Bachelor’s degree,Statistician,20+ years
30-34,Man,United States of America,Doctoral degree,Research Scientist,5-10 years
22-24,Man,Spain,,,
22-24,Woman,Nepal,Master’s degree,Software Engineer,3-5 years
45-49,Woman,Other,Master’s degree,Data Analyst,1-2 years
35-39,Nonbinary,United States of America,Master’s degree,Data Scientist,10-20 years
30-34,Man,Ukraine,Master’s degree,Data Scientist,3-5 years
22-24,Man,Morocco,Master’s degree,Currently not employed,5-10 years
22-24,Man,Brazil,Master’s degree,Business Analyst,< 1 years
55-59,Man,India,No formal education past high school,Business Analyst,I have never written code
25-29,Woman,India,Doctoral degree,Research Scientist,1-2 years
